cep,count,state,region,country,lat,lon
Avenida Dos Tembés,1,Amapá,Região Norte,Brasil,0.0123355,-51.0638362
78110590,1,Mato Grosso,Região Centro-Oeste,Brasil,-15.645816,-56.132218
67145-148,1,Pará,Região Norte,Brasil,-1.374035,-48.4016623
66040255,4,Pará,Região Norte,Brasil,-1.4522209,-48.4828166
66073050,1,Pará,Região Norte,Brasil,-1.4578616000000002,-48.4672864
66821030,1,Pará,Região Norte,Brasil,-1.45056,-48.4682453
69044640,1,Amazonas,Região Norte,Brasil,-3.0575448,-60.0554209
40130-030,1,Bahia,Região Nordeste,Brasil,-13.0025982,-38.5254363
68901259,1,Amapá,Região Norte,Brasil,0.0412591,-51.065986
Avenida Rômulo Maiorana,1,Pará,Região Norte,Brasil,-1.4336023,-48.4603247
66623710,1,Pará,Região Norte,Brasil,-1.4015784,-48.4573268
66075590,1,Pará,Região Norte,Brasil,-1.4110426,-48.4312977
68798000,3,Pará,Região Norte,Brasil,-1.226144,-48.295101
66117410,1,Pará,Região Norte,Brasil,-1.4150024,-48.4934753
67133170,1,Pará,Região Norte,Brasil,-1.3597901,-48.40270570000001
67130420,4,Pará,Região Norte,Brasil,-1.3691977,-48.405932
67125587,1,Pará,Região Norte,Brasil,-1.3396290000000002,-48.4280075
68909813,1,Amapá,Região Norte,Brasil,0.0940461,-51.0522648
68447000,1,Pará,Região Norte,Brasil,-1.5107945,-48.6190679
67125810,1,Pará,Região Norte,Brasil,-1.3241987,-48.4193569
Pará,1,Pará,Região Norte,Brasil,-4.7493932999999995,-52.89730060000001
66073-300,1,Pará,Região Norte,Brasil,-1.4609871,-48.4641266
68.903-419,1,Amapá,Região Norte,Brasil,-0.005227600000000001,-51.0820424
66053-020,1,Pará,Região Norte,Brasil,-1.4479154,-48.4912453
66820110,1,Pará,Região Norte,Brasil,-1.3275367,-48.4382348
TV D,1,Pará,Região Norte,Brasil,-1.3545724,-48.4144085
68520000,1,Pará,Região Norte,Brasil,-5.541640900000001,-48.7291003
68455767,1,Pará,Região Norte,Brasil,-3.835512000000001,-49.6688898
68270000,1,Pará,Região Norte,Brasil,-1.7669992,-55.868285
68500070,1,Pará,Região Norte,Brasil,-5.1617477,-49.0846331
66050350,1,Pará,Região Norte,Brasil,-1.4477478,-48.4976639
66087320,1,Pará,Região Norte,Brasil,-1.4401447,-48.4761549
